energy_ev,D_Tup,D_Tdown,L_Tup,L_Tdown,D_Px,D_Py,D_Pz,L_Px,L_Py,L_Pz,single_Pz,zero_SOC_Pz,flux_deficit
-0.655,0.689654559301,0.687737461577,0.687737461577,0.689654559301,0.000138372845725,9.42876275902e-05,0.00139183158857,-0.000138372845725,9.42876275902e-05,-0.00139183158857,8.43468997475e-16,0,1.29895174616e-08
-0.65,0.73611833121,0.732347522854,0.732347522854,0.73611833121,0.00018758181116,0.000174449096256,0.00256785566036,-0.00018758181116,0.000174449096256,-0.00256785566036,1.11695769501e-15,0,1.70072667061e-08
-0.645,0.83981758607,0.828197155519,0.828197155519,0.83981758607,0.000323752541916,0.00040590275647,0.00696662341203,-0.000323752541917,0.000405902756469,-0.00696662341203,-3.77639088164e-16,0,3.18694843848e-08
-0.64,1.57051375617,1.48103471128,1.48103471128,1.57051375617,0.000732367556236,0.00112862385266,0.0293225048998,-0.000732367556236,0.00112862385266,-0.0293225048998,6.14957945202e-16,0,1.64329255536e-07
-0.635,1.10450017989,1.0764632172,1.0764632172,1.10450017989,0.000181898848657,0.000154927564813,0.0128553109732,-0.000181898848657,0.000154927564813,-0.0128553109732,1.11782365961e-15,0,5.39691220602e-08
-0.63,0.972824279937,0.964449926711,0.964449926711,0.972824279937,7.16186221431e-05,-6.1023359166e-05,0.00432275059343,-7.16186221433e-05,-6.10233591663e-05,-0.00432275059343,-4.8628474386e-16,0,2.30429784143e-08
-0.625,0.984007980188,0.97921581267,0.97921581267,0.984007980188,7.24288579793e-05,-8.05102697493e-05,0.00244096854125,-7.24288579794e-05,-8.05102697494e-05,-0.00244096854125,8.74298444371e-16,0,1.81175365821e-08
-0.62,1.01076920685,1.0070126327,1.0070126327,1.01076920685,8.84292503383e-05,-7.65926020697e-05,0.00186173454091,-8.8429250338e-05,-7.65926020695e-05,-0.00186173454091,3.72877698674e-16,0,1.70004987865e-08
-0.615,1.03271079201,1.0291621365,1.0291621365,1.03271079201,0.000110649491758,-6.77055473643e-05,0.00172108351533,-0.000110649491759,-6.77055473643e-05,-0.00172108351533,9.80231306032e-17,0,1.69304161801e-08
-0.61,1.04381557625,1.04000899597,1.04000899597,1.04381557625,0.000139779585308,-5.5708093785e-05,0.00182672780329,-0.000139779585308,-5.57080937852e-05,-0.00182672780329,6.0916886764e-16,0,1.73208816179e-08
-0.605,1.04470311987,1.04018105752,1.04018105752,1.04470311987,0.000179548255371,-3.85596629784e-05,0.00216897532941,-0.000179548255371,-3.85596629785e-05,-0.00216897532941,0,0,1.81664834287e-08
-0.6,1.04326455575,1.03732042549,1.03732042549,1.04326455575,0.000236901124459,-1.07796828329e-05,0.00285695144004,-0.000236901124459,-1.07796828329e-05,-0.00285695144004,-4.15561470403e-16,0,1.98987484268e-08
-0.595,1.06069752017,1.05187169257,1.05187169257,1.06069752017,0.000323033157048,3.99610267114e-05,0.00417776967833,-0.000323033157048,3.99610267113e-05,-0.00417776967832,-4.10579972249e-16,0,2.37930306568e-08
-0.59,1.15609385209,1.14073388896,1.14073388896,1.15609385209,0.000444996341445,0.000138531940267,0.00668746848655,-0.000444996341445,0.000138531940267,-0.00668746848655,0,0,3.35897603065e-08
-0.585,1.48504284042,1.45463835366,1.45463835366,1.48504284042,0.000529962393826,0.000293588544662,0.0103427837092,-0.000529962393826,0.000293588544662,-0.0103427837092,8.62590021759e-16,0,5.83247050656e-08
