bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
-0.25,0.0962350626398,171051.206228,-3403.20594277,5.84388929238e-08,1.16269035497e-09
-0.25,0.1,171022.564444,-3532.73592325,5.84468775941e-08,1.20731077066e-09
-0.25,0.103912230384,170991.712694,-3666.90268912,5.84554836772e-08,1.25357285983e-09
-0.25,0.107977516233,170958.486779,-3805.83713735,5.84647582154e-08,1.30152853032e-09
-0.25,0.11220184543,170922.711321,-3949.6695436,5.84747515974e-08,1.35123029391e-09
-0.25,0.116591440118,170884.199177,-4098.52892196,5.84855177601e-08,1.40273113143e-09
-0.25,0.121152765863,170842.750834,-4252.54230123,5.84971143988e-08,1.45608433642e-09
-0.25,0.125892541179,170798.153823,-4411.8339105,5.85096031808e-08,1.51134333495e-09
-0.25,0.130817747426,170750.18213,-4576.5242666,5.85230499649e-08,1.56856147957e-09
-0.25,0.135935639088,170698.595634,-4746.72915585,5.85375250221e-08,1.62779181459e-09
-0.25,0.141253754462,170643.139565,-4922.55850274,5.8553103259e-08,1.68908681032e-09
-0.25,0.146779926762,170583.544012,-5104.11511813,5.85698644382e-08,1.7524980635e-09
-0.25,0.152522295654,170519.523474,-5291.49332009,5.85878933958e-08,1.81807596119e-09
-0.25,0.158489319246,170450.776487,-5484.77742105,5.86072802514e-08,1.88586930525e-09
-0.25,0.164689786548,170376.985329,-5684.04007585,5.86281206071e-08,1.95592489478e-09
-0.25,0.171132830416,170297.815839,-5889.34048647,5.86505157314e-08,2.02828706374e-09
-0.25,0.177827941004,170212.917359,-6100.72246103,5.86745727228e-08,2.10299717117e-09
-0.25,0.184784979742,170121.922828,-6318.2123265,5.87004046467e-08,2.18009304177e-09
-0.25,0.192014193864,170024.449058,-6541.81669742,5.87281306404e-08,2.25960835492e-09
-0.25,0.199526231497,169920.097214,-6771.52010609,5.87578759778e-08,2.34157198058e-09
-0.25,0.207332157349,169808.453543,-7007.28250343,5.87897720843e-08,2.4260072612e-09
-0.25,0.215443469003,169689.090363,-7249.03664463,5.88239564961e-08,2.51293123978e-09
-0.25,0.223872113857,169561.567376,-7496.68537868,5.88605727497e-08,2.60235383491e-09
-0.25,0.232630506715,169425.433315,-7750.09886727,5.88997701932e-08,2.69427696495e-09
-0.25,0.24173154808,169280.22798,-8009.11176549,5.89417037071e-08,2.78869362519e-09
-0.25,0.251188643151,169125.484683,-8273.52040413,5.89865333212e-08,2.88558692332e-09
-0.25,0.261015721568,168960.733151,-8543.08002229,5.90344237149e-08,2.98492908062e-09
-0.25,0.271227257933,168785.502906,-8817.50210732,5.90855435882e-08,3.08668040876e-09
-0.25,0.281838293126,168599.327151,-9096.45190896,5.91400648888e-08,3.19078827445e-09
-0.25,0.292864456463,168401.747183,-9379.54620366,5.9198161882e-08,3.29718606744e-09
-0.25,0.304321988711,168192.317332,-9666.35139422,5.92600100529e-08,3.40579219005e-09
-0.25,0.316227766017,167970.610438,-9956.38203877,5.93257848269e-08,3.51650909018e-09
-0.25,0.32859932476,167736.223829,-10249.09991,5.93956601022e-08,3.62922236302e-09
-0.25,0.341454887383,167488.785792,-10543.9136916,5.94698065865e-08,3.7437999502e-09
-0.25,0.354813389234,167227.962448,-10840.1794214,5.95483899352e-08,3.86009146859e-09
-0.25,0.368694506452,166953.464996,-11137.2017914,5.96315686932e-08,3.97792770394e-09
-0.25,0.383118684956,166665.057195,-11434.2364106,5.97194920479e-08,4.09712030759e-09
-0.25,0.398107170553,166362.562978,-11730.4931273,5.98122974061e-08,4.21746173591e-09
-0.25,0.413682040239,166045.874048,-12025.1404951,5.99101078158e-08,4.33872547385e-09
-0.25,0.429866234708,165714.95728,-12317.3114461,6.00130292624e-08,4.46066658307e-09
-0.25,0.446683592151,165369.861736,-12606.1102093,6.01211478769e-08,4.58302261419e-09
-0.25,0.464158883361,165010.725098,-12890.6204807,6.0234527102e-08,4.7055149188e-09
-0.25,0.482317848224,164637.77926,-13169.9148162,6.03532048734e-08,4.82785039154e-09
-0.25,0.501187233627,164251.354892,-13443.0651711,6.04771908807e-08,4.94972366535e-09
-0.25,0.52079483286,163851.884705,-13709.1544728,6.060646398e-08,5.07081977266e-09
-0.25,0.541169526546,163439.90524,-13967.2890569,6.07409698392e-08,5.19081727378e-09
-0.25,0.56234132519,163016.056951,-14216.6117577,6.08806188984e-08,5.30939183929e-09
-0.25,0.584341413374,162581.082451,-14456.3153943,6.10252847319e-08,5.4262202577e-09
-0.25,0.607202195691,162135.822778,-14685.6563589,6.11748028973e-08,5.54098482236e-09
-0.25,0.63095734448,161681.211638,-14903.967981,6.13289703504e-08,5.65337803415e-09
-0.25,0.655641849418,161218.267608,-15110.6733235,6.14875454979e-08,5.76310753903e-09
-0.25,0.681292069058,160748.08436,-15305.2970575,6.16502489459e-08,5.86990120314e-09
-0.25,0.707945784384,160271.819054,-15487.4760746,6.18167649871e-08,5.97351221444e-09
-0.25,0.73564225446,159790.67908,-15656.9685135,6.19867438465e-08,6.07372408859e-09
-0.25,0.764422274253,159305.90743,-15813.6609205,6.21598046857e-08,6.17035545034e-09
-0.25,0.794328234724,158818.767,-15957.5733111,6.23355393396e-08,6.26326445979e-09
-0.25,0.825404185268,158330.524193,-16088.8619668,6.25135167321e-08,6.3523527563e-09
-0.25,0.857695898591,157842.432207,-16207.8198698,6.26932878952e-08,6.43756880225e-09
-0.25,0.891250938134,157355.714413,-16314.8747579,6.28743914905e-08,6.51891052368e-09
