dimensionless_reaction_q,photon_massweighted_Q,potential_ev
1.066,-16.5,2.2732716721
1.092,-16.5,2.26649316694
1.118,-16.5,2.27417390363
1.144,-16.5,2.29725170661
1.17,-16.5,2.33668646677
1.196,-16.5,2.39346014144
1.222,-16.5,2.46857675442
1.248,-16.5,2.56306239597
1.274,-16.5,2.67796522279
1.3,-16.5,2.81435545806
-1.3,-16.2,8.79521031391
-1.274,-16.2,8.53602454152
-1.248,-16.2,8.29832617758
-1.222,-16.2,8.08104499892
-1.196,-16.2,7.88313284882
-1.17,-16.2,7.70356363704
-1.144,-16.2,7.54133333976
-1.118,-16.2,7.39545999966
-1.092,-16.2,7.26498372585
-1.066,-16.2,7.1489666939
-1.04,-16.2,7.04649314585
-1.014,-16.2,6.95666939017
-0.988,-16.2,6.87862380183
-0.962,-16.2,6.81150682221
-0.936,-16.2,6.75449095918
-0.91,-16.2,6.70677078706
-0.884,-16.2,6.66756294661
-0.858,-16.2,6.63610614507
-0.832,-16.2,6.61166115613
-0.806,-16.2,6.59351081992
-0.78,-16.2,6.58096004306
-0.754,-16.2,6.57333579861
-0.728,-16.2,6.56998712606
-0.702,-16.2,6.57028513141
-0.676,-16.2,6.57362298708
-0.65,-16.2,6.57941593195
-0.624,-16.2,6.58710127138
-0.598,-16.2,6.59613837716
-0.572,-16.2,6.60600868755
-0.546,-16.2,6.61621570727
-0.52,-16.2,6.62628500748
-0.494,-16.2,6.63576422583
-0.468,-16.2,6.64422306639
-0.442,-16.2,6.65125329971
-0.416,-16.2,6.65646876279
-0.39,-16.2,6.65950535909
-0.364,-16.2,6.66002105853
-0.338,-16.2,6.65769589747
-0.312,-16.2,6.65223197874
-0.286,-16.2,6.64335347164
-0.26,-16.2,6.6308066119
-0.234,-16.2,6.61435970173
-0.208,-16.2,6.59380310978
-0.182,-16.2,6.56894927117
-0.156,-16.2,6.53963268747
-0.13,-16.2,6.50570992671
-0.104,-16.2,6.46705962337
-0.078,-16.2,6.42358247841
-0.052,-16.2,6.37520125921
-0.026,-16.2,6.32186079963
0,-16.2,6.263528
0.026,-16.2,6.20019182708
0.052,-16.2,6.1318633141
0.078,-16.2,6.05857556074
0.104,-16.2,5.98038373315
0.13,-16.2,5.89736506393
0.156,-16.2,5.80961885213
0.182,-16.2,5.71726646328
0.208,-16.2,5.62045132933
0.234,-16.2,5.51933894872
0.26,-16.2,5.41411688634
0.286,-16.2,5.30499477352
0.312,-16.2,5.19220430807
0.338,-16.2,5.07599925423
0.364,-16.2,4.95665544274
0.39,-16.2,4.83447077075
0.416,-16.2,4.70976520189
0.442,-16.2,4.58288076625
0.468,-16.2,4.45418156038
0.494,-16.2,4.32405374726
0.52,-16.2,4.19290555636
0.546,-16.2,4.06116728358
0.572,-16.2,3.92929129131
0.598,-16.2,3.79775200836
0.624,-16.2,3.66704593003
0.65,-16.2,3.53769161805
0.676,-16.2,3.41022970061
0.702,-16.2,3.28522287239
0.728,-16.2,3.16325589449
0.754,-16.2,3.04493559447
0.78,-16.2,2.93089086638
0.806,-16.2,2.82177267068
0.832,-16.2,2.71825403433
0.858,-16.2,2.62103005071
0.884,-16.2,2.53081787969
0.91,-16.2,2.44835674758
0.936,-16.2,2.37440794715
0.962,-16.2,2.30975483763
0.988,-16.2,2.25520284469
1.014,-16.2,2.21157946048
1.04,-16.2,2.17973424359
1.066,-16.2,2.16053881909
1.092,-16.2,2.15488687849
1.118,-16.2,2.16369417974
1.144,-16.2,2.18789854729
1.17,-16.2,2.228459872
1.196,-16.2,2.28636011123
1.222,-16.2,2.36260328877
1.248,-16.2,2.45821549488
1.274,-16.2,2.57424488626
1.3,-16.2,2.71176168609
-1.3,-15.9,8.58287608587
-1.274,-15.9,8.32481687805
-1.248,-15.9,8.08824507867
-1.222,-15.9,7.87209046457
-1.196,-15.9,7.67530487903
-1.17,-15.9,7.49686223181
-1.144,-15.9,7.33575849909
-1.118,-15.9,7.19101172355
-1.092,-15.9,7.0616620143
-1.066,-15.9,6.94677154691
-1.04,-15.9,6.84542456342
-1.014,-15.9,6.75672737231
-0.988,-15.9,6.67980834852
-0.962,-15.9,6.61381793346
-0.936,-15.9,6.55792863499
-0.91,-15.9,6.51133502743
-0.884,-15.9,6.47325375154
-0.858,-15.9,6.44292351457
-0.832,-15.9,6.41960509018
-0.806,-15.9,6.40258131854
-0.78,-15.9,6.39115710624
-0.754,-15.9,6.38465942635
